"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.cart_oil","perc.hash_kief","perc.wax_shatter_dab_resin","perc.uncategorized"
"Pullman",2015-12-08,1839.7319,44,41.8120886363636,0.159090909090909,0.0681818181818182,0.636363636363636,0.136363636363636
"Pullman",2015-12-09,2846.4764,61,46.6635475409836,0.147540983606557,0.0163934426229508,0.639344262295082,0.19672131147541
"Pullman",2015-12-10,3413.1632,68,50.1935764705882,0.264705882352941,0.0147058823529412,0.573529411764706,0.132352941176471
"Pullman",2015-12-11,3618.7317,72,50.2601625,0.152777777777778,0.0277777777777778,0.652777777777778,0.166666666666667
"Pullman",2015-12-12,4840.0045,102,47.4510245098039,0.137254901960784,0.00980392156862745,0.666666666666667,0.186274509803922
"Pullman",2015-12-13,3037.5914,70,43.3941628571429,0.3,0.0142857142857143,0.657142857142857,0.0285714285714286
"Pullman",2015-12-14,1948.4414,45,43.2986977777778,0.266666666666667,0,0.6,0.133333333333333
"Pullman",2015-12-15,2946.2672,60,49.1044533333333,0.316666666666667,0.0333333333333333,0.566666666666667,0.0833333333333333
"Pullman",2015-12-16,3359.7606,66,50.9054636363636,0.121212121212121,0,0.742424242424242,0.136363636363636
"Pullman",2015-12-17,3440.7687,69,49.8662130434783,0.318840579710145,0.0144927536231884,0.536231884057971,0.130434782608696
"Pullman",2015-12-18,4339.4613,99,43.8329424242424,0.323232323232323,0,0.646464646464647,0.0303030303030303
"Pullman",2015-12-19,5047.5458,103,49.0052990291262,0.29126213592233,0,0.592233009708738,0.116504854368932
"Pullman",2015-12-20,1907.8483,46,41.4749630434783,0.130434782608696,0,0.717391304347826,0.152173913043478
"Pullman",2015-12-21,3287.3287,69,47.6424449275362,0.159420289855072,0,0.681159420289855,0.159420289855072
"Pullman",2015-12-22,3569.6309,78,45.7644987179487,0.243589743589744,0,0.653846153846154,0.102564102564103
"Pullman",2015-12-23,4954.1392,89,55.6644853932584,0.303370786516854,0,0.528089887640449,0.168539325842697
"Pullman",2015-12-24,4221.7509,85,49.6676576470588,0.282352941176471,0.0117647058823529,0.611764705882353,0.0941176470588235
"Pullman",2015-12-25,1120.6874,26,43.1033615384615,0.153846153846154,0,0.769230769230769,0.0769230769230769
"Pullman",2015-12-26,1647.8086,38,43.3633842105263,0.0263157894736842,0,0.684210526315789,0.263157894736842
"Pullman",2015-12-27,2185.0952,40,54.62738,0.2,0,0.65,0.15
"Pullman",2015-12-28,2417.0225,53,45.6041981132076,0.150943396226415,0,0.69811320754717,0.150943396226415
"Pullman",2015-12-29,3236.0222,59,54.8478338983051,0.135593220338983,0,0.661016949152542,0.203389830508475
"Pullman",2015-12-30,3488.7598,76,45.9047342105263,0.144736842105263,0,0.789473684210526,0.0657894736842105
